NAVN,POSITION,KLUB,PLAYER_WYID,PLAYER_OPTAUUID,COMPETITION_WYID,COMPETITION_OPTAUUID
Cassius Maasbøl,,Hørsholm-Usserød IK,1251711,,,43319,
Chance Mihigo,Midfielder,VSK Århus,449108,,,329,
Charles Divialle Corbière,Defender,FC Helsingør,818923,,,329,
Charly Nouck Horneman,Forward,Viborg FF,623240,,,1305,
Cheikh Diouf,Forward,FC Helsingør,364421,,,329,
Chichi Yohann Rayann Junior Capo,Defender,FC Midtjylland Under 19,1278411,,,1305,
Chidiebube Gideon Duru,Defender,SønderjyskE,598959,7sbdudf1vycn8hinw0giakpyi,335,29actv1ohj8r10kd9hu0jnb0n
Cho Gue-Sung,Forward,FC Midtjylland,603240,ou0gnms7vf5ff66o508nowoa,335,29actv1ohj8r10kd9hu0jnb0n
Christ Tape,Defender,Horsens,1026869,,,328,dyjr458hcmrcy87fsabfsy87o
Christian Storch,Defender,AGF,769069,dwjmdwzgy2d1ofh19tk4hgvtg,335,29actv1ohj8r10kd9hu0jnb0n
Christian Boyum Johansen,Defender,,286562,4807,,,329,
Christian Brund,Forward,Odense BK Under 19,847884,9w52ax67eqw1qmetl81mie6i2,1305,
Christian Enemark,Defender,Hobro,399556,2qedb8t85t1ieeed9613c9crt,328,dyjr458hcmrcy87fsabfsy87o
Christian Espensen Troelsen,Midfielder,Frederiksberg Alliancen 2000,623308,,,43319,
Christian Friedrich,Defender,Næstved BK,569700,8fc1w9vecq8e9kvoywi2bd9uc,1305,
Christian Gammelgaard,Forward,Vejle Boldklub,569843,7g5mtjc5bxy2oxtmghn85az9w,335,29actv1ohj8r10kd9hu0jnb0n
Christian Hørby,Midfielder,Thisted FC,449428,k3qdvvg6cmatp55ivsa9714a,1305,
Christian Jimmy Ravn Espenhain,Midfielder,Holbæk Bold - & Idrætsforening,660083,,,43319,
Christian Jørgensen,Midfielder,,3832411,72915vrzye4jqrafujmjw3wakjpxw,1305,
Christian Kruse,,Vejgaard Boldspilklub,793895,alqojx5s6i7yi5116lzix02l0,43319,
Christian Kudsk Mortensen,Midfielder,Skive IK,380837,,,1305,
Christian Levy Rasmussen,Goalkeeper,AC Horsens Under 19,766605,v5l81gxg2i8p5imhugkqiexg,1305,
Christian Nikolaj Sørensen,Defender,Vejle Boldklub,56143,ewh6t7yo6clfewu89uznll9uc,328,dyjr458hcmrcy87fsabfsy87o
Christian Nwoke,Goalkeeper,IF Lyseng,1138672,,,329,
Christian Pagh Jensen,Defender,Vejgaard Boldspilklub,461187,eps93ehgmx8ft3kjo4zvy63o4,329,
Christian Risom,Goalkeeper,Silkeborg IF Under 19,842144,,,1305,
Christian Steensgaard Eriksen,Midfielder,Aalborg BK Under 19,841159,cty7nsrs5yn785m330c2gbwq2,1305,
Christian Søgaard Emmery,Forward,AGF Under 17,959945,,,1305,
Christian Tcacenco,Defender,AaB,738329,2s4umgp3yqnb2hubfoaxhwr2s,335,29actv1ohj8r10kd9hu0jnb0n
Christian Tue Jensen,Midfielder,HB Køge,400359,74m58jsznzu8l89b8h7rkh1bd,328,dyjr458hcmrcy87fsabfsy87o
Christian Vestergaard,Defender,Horsens,450067,f58yr2jmfp8kpgprfxbokt1t6,1305,
Christian Wagner,Forward,,6790549,468m9wipuvmznt3r8yie8en7i1g,329,
Christoffer Boateng,Forward,BK Fremad Amager,326740,dzw0gk7icd1fqgffube3il3v9,328,dyjr458hcmrcy87fsabfsy87o
Christoffer Daluiso Salmonsen,Defender,Næstved BK,765373,,,329,
Christoffer Felix Cornelius Petersen,Goalkeeper,FC Fredericia,433983,,,335,29actv1ohj8r10kd9hu0jnb0n
Christoffer Kræmer,Defender,Vejgaard Boldspilklub,449036,,,43319,
Christoffer Linde Nygaard,Goalkeeper,Esbjerg fB Under 19,766682,,,1305,
Christoffer Palm Borresen,Midfielder,523122,,,328,dyjr458hcmrcy87fsabfsy87o
Christoffer Remmer,Defender,BK Frem 1886,135147,7j7msbwp1i7994rpr7yz6t905,43319,
Chukwuemeka Paul Nnamani,Forward,,6711449,5138i0o1b8rjsab9se3v6vteqmfo,328,dyjr458hcmrcy87fsabfsy87o
Citta Bah,,FC Midtjylland Under 19,1326845,9j0v9bomstpbku7nnmqp8n7c9,1305,
Clemens Astrup,Midfielder,Vejle Boldklub,624674,9nafz0c0x2qvmo5ldm0djmcq1,335,29actv1ohj8r10kd9hu0jnb0n
Clement Mutahi Bischoff,Forward,,8743764,6251gr0k94d0nh7msa32f6728aok,335,29actv1ohj8r10kd9hu0jnb0n
Collins Ochieng,Defender,AC Horsens Under 19,1176701,,,1305,
Conner Floyd,Midfielder,VSK Århus,846773,,,329,
Cornelius Allen,Defender,Hillerød,577967,81gka3mi69fh8gyehyy8xo9as,328,dyjr458hcmrcy87fsabfsy87o
Cornelius Axel Olsson,Defender,AaB,678663,aiy1cjnu69o7xy605cmaysy6s,328,dyjr458hcmrcy87fsabfsy87o
Cornelius Emil Thrysøe Pedersen,Defender,Hørsholm-Usserød IK,679485,f239q43hdwrm7u7mu5jqyk91x,43319,
Cornelius Kilpatrick,Midfielder,BK Fremad Amager,679651,e28vnripq7f1eyxmewplbp250,1305,
Cristian Peter Bøje Jørgensen,Midfielder,Thisted FC,685726,,,1305,
Cyril Edudzi,Forward,Randers FC,1173779,,,335,29actv1ohj8r10kd9hu0jnb0n
Cömert Aga Öcal,Forward,Brønshøj BK,763500,,,43319,
Dalton Wilkins,Defender,SønderjyskE,556414,5q4p56lg1vjsqo824aql0e1d6,335,29actv1ohj8r10kd9hu0jnb0n
Damian van Bruggen,Defender,Vejle Boldklub,240295,6ylzm57bvpufg3cenadtv7qhh,335,29actv1ohj8r10kd9hu0jnb0n
Danial Mørkøre,Forward,,2373395,7176,1305,
Danial Riaz,Midfielder,Brøndby IF Under 19,766627,,,1305,
Daniel Alexander Pedersen,Midfielder,BK Fremad Amager,56162,f239q43hdwrm7u7mu5jqyk91x,335,29actv1ohj8r10kd9hu0jnb0n
Daniel Anyembe,Defender,Viborg FF,436881,4n3t1p3zn5yzjv4w0clo3xvjd,1305,
Daniel Arrocha,Defender,FC Helsingør,165289,,,329,
Daniel B.V. Nielsen,Defender,Vanløse IF,508926,,,329,
Daniel Bisgaard Haarbo,Midfielder,FC Fredericia,579396,,,329,
Daniel Dias Lucas,Defender,,9649109,3308,1305,
